ID,Type,Lat,Lng,Time,Place
ID_ifhs81sb0,Trash,41.1192859,24.8575453,"2/19/2026, 3:50:08 PM",KALLITH
ID_rkpbr07kx,Trash,41.1210629,24.8592234,"2/19/2026, 3:51:29 PM",KALLITH
ID_fnrz59wx2,Trash,41.1194196,24.860242,"2/19/2026, 3:53:28 PM",KALLITH
ID_mk828gx4g,Trash,41.1176446,24.8609876,"2/19/2026, 3:54:03 PM",KALLITH
ID_zlzmv0hhh,Trash,41.1171266,24.8612365,"2/19/2026, 3:54:13 PM",KALLITH
ID_btfnos9or,Trash,41.1164209,24.8614374,"2/19/2026, 3:54:30 PM",KALLITH
ID_gbncv6tjj,Recycle,41.1164209,24.8614374,"2/19/2026, 3:54:30 PM",KALLITH
ID_13fzjtgab,Trash,41.1158929,24.8616342,"2/19/2026, 3:55:09 PM",KALLITH
ID_x9u2vm8zb,Trash,41.1165293,24.8720752,"2/19/2026, 3:56:30 PM",KALLITH
ID_vc7rcoset,Trash,41.1165293,24.8720752,"2/19/2026, 3:56:31 PM",KALLITH
ID_4b61tryzy,Recycle,41.1195407,24.8704127,"2/19/2026, 3:59:50 PM",KALLITH
ID_9iu9xqpep,Trash,41.1195407,24.8704127,"2/19/2026, 3:59:50 PM",KALLITH
ID_lsszvgo37,Recycle,41.1204801,24.8667831,"2/19/2026, 4:00:38 PM",KALLITH
ID_7m3mfnh3j,Trash,41.1204801,24.8667831,"2/19/2026, 4:00:39 PM",KALLITH
ID_qln8w74ov,Trash,41.1204801,24.8667831,"2/19/2026, 4:00:39 PM",KALLITH
ID_u09i36qi0,Trash,41.1208337,24.8660953,"2/19/2026, 4:00:58 PM",KALLITH
ID_bspzvi4wz,Trash,41.1209827,24.8655136,"2/19/2026, 4:01:13 PM",KALLITH
ID_2yp8vr90a,Trash,41.1211617,24.8649348,"2/19/2026, 4:01:29 PM",KALLITH
ID_e92snpcq2,Trash,41.1211617,24.8649348,"2/19/2026, 4:01:29 PM",KALLITH
ID_7my1vn7bj,Trash,41.1215549,24.8636886,"2/19/2026, 4:01:45 PM",KALLITH
ID_xlwj4optx,Trash,41.1215549,24.8636886,"2/19/2026, 4:01:45 PM",KALLITH
